Depth (m),Facies Code,Lithology
2036.1,UNKNOWN,F-C Slightly dolomitic Siltstones
2036.2,UNKNOWN,F-C Slightly dolomitic Siltstones
2036.3,UNKNOWN,F-C Slightly dolomitic Siltstones
2036.4,UNKNOWN,F-C Slightly dolomitic Siltstones
2036.5,UNKNOWN,F-C Slightly dolomitic Siltstones
2036.6,UNKNOWN,F-C Slightly dolomitic Siltstones
2036.7,UNKNOWN,F-C Slightly dolomitic Siltstones
2036.8,UNKNOWN,F-C Slightly dolomitic Siltstones
2036.9,UNKNOWN,F-C Slightly dolomitic Siltstones
2037.0,UNKNOWN,F-C Slightly dolomitic Siltstones
2037.1,UNKNOWN,Sandy F-C Siltstones
2037.2,UNKNOWN,Sandy F-C Siltstones
2037.3,UNKNOWN,Sandy F-C Siltstones
2037.4,UNKNOWN,Sandy F-C Siltstones
2037.5,UNKNOWN,Sandy F-C Siltstones
2037.6,UNKNOWN,Sandy F-C Siltstones
2037.7,UNKNOWN,Sandy F-C Siltstones
2037.8,UNKNOWN,Sandy F-C Siltstones
2037.9,UNKNOWN,Sandy F-C Siltstones
2038.0,UNKNOWN,Sandy F-C Siltstones
2038.1,UNKNOWN,Sandy F-C Siltstones
2038.2,UNKNOWN,Sandy F-C Siltstones
2038.3,UNKNOWN,Sandy F-C Siltstones
2038.4,UNKNOWN,Sandy F-C Siltstones
2038.5,UNKNOWN,Sandy F-C Siltstones
2038.6,UNKNOWN,Sandy F-C Siltstones
2038.7,UNKNOWN,Sandy F-C Siltstones
2038.8,UNKNOWN,Sandy F-C Siltstones
2038.9,UNKNOWN,Sandy F-C Siltstones
2039.0,UNKNOWN,Sandy F-C Siltstones
2039.1,UNKNOWN,Sandy F-C Siltstones
2039.2,UNKNOWN,Sandy F-C Siltstones
2039.3,UNKNOWN,Sandy F-C Siltstones
2039.4,UNKNOWN,Sandy F-C Siltstones
2039.5,UNKNOWN,Sandy F-C Siltstones
2039.6,UNKNOWN,Sandy F-C Siltstones
2039.7,UNKNOWN,Sandy F-C Siltstones
2039.8,UNKNOWN,Sandy F-C Siltstones
2039.9,UNKNOWN,Sandy F-C Siltstones
2040.0,UNKNOWN,Sandy F-C Siltstones
2040.1,UNKNOWN,Sandy F-C Siltstones
2040.2,UNKNOWN,Sandy F-C Siltstones
2040.3,UNKNOWN,Sandy F-C Siltstones
2040.4,UNKNOWN,Sandy F-C Siltstones
2040.5,UNKNOWN,Sandy F-C Siltstones
2040.6,UNKNOWN,Sandy F-C Siltstones
2040.7,UNKNOWN,Sandy F-C Siltstones
2040.8,UNKNOWN,Sandy F-C Siltstones
2040.9,UNKNOWN,Sandy F-C Siltstones
2041.0,UNKNOWN,Sandy F-C Siltstones
2041.1,UNKNOWN,Sandy F-C Siltstones
2041.2,UNKNOWN,Sandy F-C Siltstones
2041.3,UNKNOWN,F-C Slightly dolomitic Siltstones
2041.4,UNKNOWN,F-C Slightly dolomitic Siltstones
2041.5,UNKNOWN,F-C Slightly dolomitic Siltstones
2041.6,UNKNOWN,F-C Slightly dolomitic Siltstones
2041.7,UNKNOWN,F-C Slightly dolomitic Siltstones
2041.8,UNKNOWN,F-C Slightly dolomitic Siltstones
2041.9,UNKNOWN,F-C Slightly dolomitic Siltstones
2042.0,UNKNOWN,F-C Slightly dolomitic Siltstones
2042.1,UNKNOWN,F-C Slightly dolomitic Siltstones
2042.2,UNKNOWN,F-C Slightly dolomitic Siltstones
2042.3,UNKNOWN,F-C Slightly dolomitic Siltstones
