Depth (m),Facies Code,Lithology
2176.4,0,Sandy F-C Siltstone to Silty VF Sandstone
2176.5,0,Sandy F-C Siltstone to Silty VF Sandstone
2176.6,1,Bituminous F-C Siltstone
2176.7,1,Bituminous F-C Siltstone
2176.8,1,Bituminous F-C Siltstone
2176.9,1,Bituminous F-C Siltstone
2177.0,1,Bituminous F-C Siltstone
2177.1,1,Bituminous F-C Siltstone
2177.2,1,Bituminous F-C Siltstone
2177.3,1,Bituminous F-C Siltstone
2177.4,1,Bituminous F-C Siltstone
2177.5,1,Bituminous F-C Siltstone
2177.6,1,Bituminous F-C Siltstone
2177.7,1,Bituminous F-C Siltstone
2177.8,1,Bituminous F-C Siltstone
2177.9,1,Bituminous F-C Siltstone
2178.0,1,Bituminous F-C Siltstone
2178.1,1,Bituminous F-C Siltstone
2178.2,1,Bituminous F-C Siltstone
2178.3,1,Bituminous F-C Siltstone
2178.4,2,Bituminous F-M Siltstone
2178.5,2,Bituminous F-M Siltstone
2178.6,2,Bituminous F-M Siltstone
2178.7,2,Bituminous F-M Siltstone
2178.8,2,Bituminous F-M Siltstone
2178.9,4,Laminated Bedded Resedimented Bioclasts
2179.0,4,Laminated Bedded Resedimented Bioclasts
2179.1,4,Laminated Bedded Resedimented Bioclasts
2179.2,4,Laminated Bedded Resedimented Bioclasts
2179.3,4,Laminated Bedded Resedimented Bioclasts
2179.4,4,Laminated Bedded Resedimented Bioclasts
2179.5,2,Bituminous F-M Siltstone
2179.6,2,Bituminous F-M Siltstone
2179.7,2,Bituminous F-M Siltstone
2179.8,2,Bituminous F-M Siltstone
2179.9,2,Bituminous F-M Siltstone
2180.0,2,Bituminous F-M Siltstone
2180.1,2,Bituminous F-M Siltstone
2180.2,2,Bituminous F-M Siltstone
2180.3,2,Bituminous F-M Siltstone
2180.4,2,Bituminous F-M Siltstone
2180.5,2,Bituminous F-M Siltstone
2180.6,2,Bituminous F-M Siltstone
2180.7,2,Bituminous F-M Siltstone
2180.8,2,Bituminous F-M Siltstone
2180.9,2,Bituminous F-M Siltstone
