From (m),To (m),Color Code,Lithofacies,Contact to next Surface
1963.370,1963.571,tan,Bituminous F-M Siltstone,smooth
1963.581,1963.813,sandybrown,Bituminous F-C Siltstone,smooth
1963.824,1964.014,tan,Bituminous F-M Siltstone,smooth
1964.024,1964.668,sandybrown,Bituminous F-C Siltstone,smooth
1964.678,1964.826,tan,Bituminous F-M Siltstone,smooth
1964.836,1964.953,sandybrown,Bituminous F-C Siltstone,smooth
1964.963,1965.585,tan,Bituminous F-M Siltstone,smooth
1965.596,1966.577,sandybrown,Bituminous F-C Siltstone,smooth
1966.588,1966.999,tan,Bituminous F-M Siltstone,smooth
1967.009,1967.284,sandybrown,Bituminous F-C Siltstone,smooth
1967.294,1967.463,tan,Bituminous F-M Siltstone,smooth
1967.474,1967.632,sandybrown,Bituminous F-C Siltstone,smooth
1967.642,1968.254,tan,Bituminous F-M Siltstone,smooth
1968.265,1968.412,sandybrown,Bituminous F-C Siltstone,smooth
1968.423,1968.602,tan,Bituminous F-M Siltstone,smooth
1968.613,1968.834,sandybrown,Bituminous F-C Siltstone,smooth
1968.845,1968.982,tan,Bituminous F-M Siltstone,smooth
1968.993,1969.172,sandybrown,Bituminous F-C Siltstone,smooth
1969.182,1969.362,tan,Bituminous F-M Siltstone,smooth
1969.372,1969.531,sandybrown,Bituminous F-C Siltstone,smooth
1969.541,1970.016,tan,Bituminous F-M Siltstone,smooth
1970.026,1970.364,sandybrown,Bituminous F-C Siltstone,smooth
1970.374,1970.533,tan,Bituminous F-M Siltstone,smooth
1970.543,1970.680,sandybrown,Bituminous F-C Siltstone,smooth
1970.691,1970.839,tan,Bituminous F-M Siltstone,smooth
1970.849,1970.986,sandybrown,Bituminous F-C Siltstone,smooth
1970.997,1971.841,tan,Bituminous F-M Siltstone,smooth
1971.851,1971.988,darkseagreen,Phosphatic - Bituminous Sandy Siltstone to Breccia,smooth
1971.999,1972.178,tan,Bituminous F-M Siltstone,smooth
1972.189,1972.294,darkseagreen,Phosphatic - Bituminous Sandy Siltstone to Breccia,smooth
1972.305,1972.474,tan,Bituminous F-M Siltstone,smooth
1972.484,1972.642,darkseagreen,Phosphatic - Bituminous Sandy Siltstone to Breccia,rough
1972.653,1973.550,sandybrown,Bituminous F-C Siltstone,smooth
1973.560,1973.729,tan,Bituminous F-M Siltstone,smooth
1973.739,1973.950,sandybrown,Bituminous F-C Siltstone,smooth
1973.961,1974.130,tan,Bituminous F-M Siltstone,smooth
1974.140,1974.330,sandybrown,Bituminous F-C Siltstone,smooth
1974.341,1974.531,tan,Bituminous F-M Siltstone,smooth
1974.541,1974.889,sandybrown,Bituminous F-C Siltstone,smooth
1974.900,1975.058,tan,Bituminous F-M Siltstone,smooth
1975.069,1975.322,sandybrown,Bituminous F-C Siltstone,smooth
1975.332,1975.480,tan,Bituminous F-M Siltstone,smooth
1975.491,1975.680,sandybrown,Bituminous F-C Siltstone,smooth
1975.691,1975.839,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
1975.849,1975.997,tan,Bituminous F-M Siltstone,smooth
1976.007,1976.155,sandybrown,Bituminous F-C Siltstone,smooth
1976.166,1976.303,tan,Bituminous F-M Siltstone,smooth
1976.313,1976.588,sandybrown,Bituminous F-C Siltstone,smooth
1976.598,1976.735,tan,Bituminous F-M Siltstone,smooth
1976.746,1976.904,sandybrown,Bituminous F-C Siltstone,smooth
1976.915,1977.083,tan,Bituminous F-M Siltstone,smooth
1977.094,1977.231,sandybrown,Bituminous F-C Siltstone,smooth
1977.242,1977.431,tan,Bituminous F-M Siltstone,smooth
1977.442,1977.632,sandybrown,Bituminous F-C Siltstone,smooth
1977.642,1977.874,tan,Bituminous F-M Siltstone,smooth
1977.885,1978.022,sandybrown,Bituminous F-C Siltstone,smooth
1978.033,1978.244,tan,Bituminous F-M Siltstone,smooth
1978.254,1978.402,sandybrown,Bituminous F-C Siltstone,smooth
1978.412,1978.634,tan,Bituminous F-M Siltstone,smooth
1978.645,1978.792,sandybrown,Bituminous F-C Siltstone,smooth
1978.803,1979.035,tan,Bituminous F-M Siltstone,smooth
1979.045,1979.204,sandybrown,Bituminous F-C Siltstone,smooth
1979.214,1979.467,tan,Bituminous F-M Siltstone,smooth
1979.478,1979.636,sandybrown,Bituminous F-C Siltstone,smooth
1979.647,1979.836,tan,Bituminous F-M Siltstone,smooth
1979.847,1980.005,sandybrown,Bituminous F-C Siltstone,smooth
1980.016,1980.153,tan,Bituminous F-M Siltstone,smooth
1980.164,1980.332,sandybrown,Bituminous F-C Siltstone,smooth
1980.343,1980.564,tan,Bituminous F-M Siltstone,smooth
1980.575,1980.923,sandybrown,Bituminous F-C Siltstone,smooth
1980.934,1981.113,tan,Bituminous F-M Siltstone,smooth
1981.123,1981.366,sandybrown,Bituminous F-C Siltstone,smooth
1981.377,1981.524,tan,Bituminous F-M Siltstone,smooth
1981.535,1981.756,sandybrown,Bituminous F-C Siltstone,smooth
1981.767,1981.936,tan,Bituminous F-M Siltstone,smooth
1981.946,1982.147,sandybrown,Bituminous F-C Siltstone,smooth
1982.157,1982.294,tan,Bituminous F-M Siltstone,smooth
1982.305,1982.495,sandybrown,Bituminous F-C Siltstone,smooth
1982.505,1982.664,plum,Calcareous - Calcispheric Dolosiltstone,smooth
1982.674,1982.885,sandybrown,Bituminous F-C Siltstone,smooth
1982.896,1983.085,tan,Bituminous F-M Siltstone,smooth
1983.096,1983.307,sandybrown,Bituminous F-C Siltstone,rough
1983.318,1983.465,tan,Bituminous F-M Siltstone,rough
1983.476,1983.666,sandybrown,Bituminous F-C Siltstone,smooth
1983.676,1983.824,tan,Bituminous F-M Siltstone,rough
1983.834,1984.024,sandybrown,Bituminous F-C Siltstone,smooth
1984.035,1984.161,tan,Bituminous F-M Siltstone,smooth
1984.172,1984.372,sandybrown,Bituminous F-C Siltstone,smooth
1984.383,1985.469,tan,Bituminous F-M Siltstone,smooth
1985.480,1985.818,sandybrown,Bituminous F-C Siltstone,smooth
1985.828,1986.123,tan,Bituminous F-M Siltstone,smooth
1986.134,1986.334,plum,Calcareous - Calcispheric Dolosiltstone,smooth
1986.345,1986.630,sandybrown,Bituminous F-C Siltstone,smooth
1986.640,1986.799,tan,Bituminous F-M Siltstone,smooth
1986.809,1987.020,sandybrown,Bituminous F-C Siltstone,smooth
1987.031,1987.231,tan,Bituminous F-M Siltstone,smooth
1987.242,1987.442,sandybrown,Bituminous F-C Siltstone,smooth
1987.453,1987.611,tan,Bituminous F-M Siltstone,smooth
1987.621,1987.811,sandybrown,Bituminous F-C Siltstone,smooth
1987.822,1988.012,tan,Bituminous F-M Siltstone,smooth
1988.022,1988.233,sandybrown,Bituminous F-C Siltstone,smooth
1988.244,1988.434,tan,Bituminous F-M Siltstone,smooth
1988.444,1988.634,sandybrown,Bituminous F-C Siltstone,smooth
1988.645,1988.813,tan,Bituminous F-M Siltstone,smooth
1988.824,1988.982,sandybrown,Bituminous F-C Siltstone,smooth
1988.993,1990.237,tan,Bituminous F-M Siltstone,smooth
1990.248,1990.332,sandybrown,Bituminous F-C Siltstone,smooth
1990.343,1990.733,tan,Bituminous F-M Siltstone,smooth
1990.744,1990.986,plum,Calcareous - Calcispheric Dolosiltstone,smooth
1990.997,1991.155,tan,Bituminous F-M Siltstone,smooth
1991.166,1991.377,sandybrown,Bituminous F-C Siltstone,smooth
1991.387,1991.524,tan,Bituminous F-M Siltstone,rough
1991.535,1991.788,sandybrown,Bituminous F-C Siltstone,smooth
